Frequency[Hz]	Experimental
1346.9	0.64994
1348.4	0.64793
1350.0	0.64594
1351.6	0.64596
1353.1	0.65122
1354.7	0.64726
1356.3	0.64664
1357.8	0.65069
1359.4	0.65392
1360.9	0.64861
1362.5	0.64662
1364.1	0.64567
1365.6	0.64734
1367.2	0.64927
1368.8	0.65187
1370.3	0.65184
1371.9	0.65372
1373.4	0.66173
1375.0	0.65812
1376.6	0.65895
1378.1	0.66114
1379.7	0.66897
1381.3	0.66413
1382.8	0.66783
1384.4	0.66454
1385.9	0.66517
1387.5	0.66951
1389.1	0.67045
1390.6	0.65997
1392.2	0.65874
1393.8	0.66548
1395.3	0.66191
1396.9	0.67024
1398.4	0.66937
1400.0	0.68362
1401.6	0.68897
1403.1	0.68663
1404.7	0.70488
1406.3	0.70496
1407.8	0.71072
1409.4	0.71783
1410.9	0.73406
1412.5	0.73457
1414.1	0.73965
1415.6	0.75359
1417.2	0.74972
1418.8	0.73482
1420.3	0.70741
1421.9	0.69061
1423.4	0.67869
1425.0	0.66671
1426.6	0.65233
1428.1	0.63276
1429.7	0.62576
1431.3	0.62485
1432.8	0.62087
1434.4	0.62552
1435.9	0.63141
1437.5	0.63559
1439.1	0.64662
1440.6	0.65259
1442.2	0.65328
1443.8	0.66173
1445.3	0.66687
1446.9	0.66722
1448.4	0.66946
1450.0	0.67463
1451.6	0.67688
1453.1	0.68238
1454.7	0.68690
1456.3	0.68760
1457.8	0.68564
1459.4	0.68848
1460.9	0.68761
1462.5	0.68666
1464.1	0.68835
1465.6	0.68893
1467.2	0.68862
1468.8	0.68616
1470.3	0.68783
1471.9	0.68814
1473.4	0.68924
1475.0	0.68864
1476.6	0.68966
1478.1	0.68929
1479.7	0.68439
1481.3	0.68394
1482.8	0.68694
1484.4	0.68439
1485.9	0.68133
1487.5	0.68232
1489.1	0.68472
1490.6	0.68096
1492.2	0.67674
1493.8	0.67357
1495.3	0.67767
1496.9	0.67328
1498.4	0.67170
1500.0	0.67651
1501.6	0.67275
1503.1	0.67022
1504.7	0.67319
1506.3	0.66718
1507.8	0.66749
1509.4	0.66975
1510.9	0.66861
1512.5	0.66564
1514.1	0.66489
1515.6	0.66793
1517.2	0.66833
1518.8	0.66320
1520.3	0.66553
1521.9	0.65432
1523.4	0.65752
1525.0	0.65889
1526.6	0.65455
1528.1	0.64837
1529.7	0.64730
1531.3	0.64276
1532.8	0.64046
1534.4	0.63849
1535.9	0.64570
1537.5	0.64905
1539.1	0.63501
1540.6	0.63250
1542.2	0.64253
1543.8	0.63862
1545.3	0.64048
1546.9	0.64392
1548.4	0.63944
1550.0	0.64383
1551.6	0.65833
1553.1	0.65496
1554.7	0.65149
1556.3	0.65050
1557.8	0.63326
1559.4	0.62619
1560.9	0.62607
1562.5	0.63753
1564.1	0.64877
1565.6	0.63926
1567.2	0.65366
1568.8	0.65836
1570.3	0.64658
1571.9	0.64908
1573.4	0.65270
1575.0	0.65651
1576.6	0.66354
1578.1	0.66073
1579.7	0.65444
1581.3	0.65494
1582.8	0.66129
1584.4	0.66809
1585.9	0.66646
1587.5	0.66950
1589.1	0.67476
1590.6	0.67473
1592.2	0.67355
1593.8	0.67208
1595.3	0.66719
1596.9	0.67069
1598.4	0.67036
1600.0	0.66957
1601.6	0.67663
1603.1	0.67333
1604.7	0.67524
1606.3	0.67683
1607.8	0.67620
1609.4	0.67577
1610.9	0.67691
1612.5	0.67549
1614.1	0.67727
1615.6	0.67619
1617.2	0.67268
1618.8	0.67195
1620.3	0.67004
1621.9	0.67015
1623.4	0.66946
1625.0	0.66597
1626.6	0.66525
1628.1	0.66566
1629.7	0.66495
1631.3	0.66286
1632.8	0.66234
1634.4	0.66297
1635.9	0.66329
1637.5	0.66271
1639.1	0.66212
1640.6	0.66300
1642.2	0.66233
1643.8	0.66295
1645.3	0.66283
1646.9	0.66327
1648.4	0.66184
1650.0	0.66135
1651.6	0.66395
1653.1	0.66378
1654.7	0.66119
1656.3	0.65864
1657.8	0.65975
1659.4	0.66100
1660.9	0.66449
1662.5	0.66319
1664.1	0.66324
1665.6	0.66207
1667.2	0.66119
1668.8	0.66383
1670.3	0.66357
1671.9	0.66312
1673.4	0.66224
1675.0	0.66265
1676.6	0.66525
1678.1	0.66346
1679.7	0.66267
1681.3	0.66452
1682.8	0.66484
1684.4	0.66443
1685.9	0.66298
1687.5	0.66380
1689.1	0.66488
1690.6	0.66582
1692.2	0.66680
1693.8	0.66588
1695.3	0.66429
1696.9	0.66862
1698.4	0.66928
1700.0	0.67226
1701.6	0.66793
1703.1	0.66691
1704.7	0.66606
1706.3	0.66806
1707.8	0.66992
1709.4	0.66957
1710.9	0.66657
1712.5	0.66985
1714.1	0.66906
1715.6	0.66819
1717.2	0.66493
1718.8	0.66410
1720.3	0.66573
1721.9	0.66824
1723.4	0.66758
1725.0	0.66517
1726.6	0.66455
1728.1	0.66568
1729.7	0.66739
1731.3	0.66786
1732.8	0.66891
1734.4	0.66861
1735.9	0.66659
1737.5	0.66967
1739.1	0.66882
1740.6	0.66877
1742.2	0.66825
1743.8	0.67068
1745.3	0.67029
1746.9	0.66674
1748.4	0.66582
1750.0	0.66656
1751.6	0.66593
1753.1	0.66601
1754.7	0.66744
1756.3	0.66806
1757.8	0.66605
1759.4	0.66495
1760.9	0.66474
1762.5	0.66460
1764.1	0.66565
1765.6	0.66501
1767.2	0.66553
1768.8	0.66660
1770.3	0.66466
1771.9	0.66439
1773.4	0.66572
1775.0	0.66546
1776.6	0.66487
1778.1	0.66444
1779.7	0.66465
1781.3	0.66456
1782.8	0.66518
1784.4	0.66511
1785.9	0.66556
1787.5	0.66529
1789.1	0.66498
1790.6	0.66492
1792.2	0.66519
1793.8	0.66518
1795.3	0.66529
1796.9	0.66554
1798.4	0.66572
1800.0	0.66480
1801.6	0.66519
1803.1	0.66568
1804.7	0.66621
1806.3	0.66631
1807.8	0.66647
1809.4	0.66661
1810.9	0.66668
1812.5	0.66705
1814.1	0.66654
1815.6	0.66697
1817.2	0.66811
1818.8	0.66835
1820.3	0.66735
1821.9	0.66812
1823.4	0.66890
1825.0	0.66803
1826.6	0.66872
1828.1	0.67007
1829.7	0.67013
1831.3	0.67066
1832.8	0.67094
1834.4	0.67027
1835.9	0.67176
1837.5	0.67086
1839.1	0.66781
1840.6	0.66872
1842.2	0.66741
1843.8	0.66637
1845.3	0.66584
1846.9	0.66634
1848.4	0.66624
1850.0	0.66463
1851.6	0.66407
1853.1	0.66415
1854.7	0.66495
1856.3	0.66639
1857.8	0.66588
1859.4	0.66588
1860.9	0.66514
1862.5	0.66756
1864.1	0.66731
1865.6	0.66633
1867.2	0.66648
1868.8	0.66598
1870.3	0.66731
1871.9	0.66791
1873.4	0.66739
1875.0	0.66655
1876.6	0.66642
1878.1	0.66666
1879.7	0.66673
1881.3	0.66812
1882.8	0.66966
1884.4	0.66938
1885.9	0.66806
1887.5	0.66773
1889.1	0.66833
1890.6	0.66760
1892.2	0.66849
1893.8	0.66830
1895.3	0.67027
1896.9	0.67045
1898.4	0.67020
1900.0	0.67128
1901.6	0.67113
1903.1	0.67209
1904.7	0.67168
